idTipoEstablecimiento;anio;trimestre;idPoblacion;genero;de1a4;de5a9;de10a14;de15a19;de20a24;de25a29;de30a34;de35a39;de40a44;de45a49;de50a54;de55a59;de60a64;de65oMas
47;2016;4;2;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;2016;4;3;T;0;0;0;0;0;3;1;0;0;0;0;0;0;0
20;2016;4;4;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2017;1;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;2017;1;2;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;2017;1;3;T;0;0;0;0;2;3;2;3;3;4;0;0;0;0
24;2017;1;4;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;2017;2;1;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2017;2;3;T;0;0;0;2;2;0;1;1;0;2;0;0;0;0
24;2017;2;4;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0
