idTipoEstablecimiento;anio;trimestre;poblacion;vihR_reactivas;vihR_noreactivas;vihC_positivas;vihC_negativas;siR_reactivas;siR_noreactivas;siC_positivas;siC_negativas
19;2015;4;PV;6;171;NULL;NULL;1;171;NULL;NULL
3;2015;3;HSH;0;31;NULL;NULL;0;0;NULL;NULL
20;2015;4;PV;12;1178;NULL;NULL;3;898;NULL;NULL
8;2015;3;HSH;0;0;NULL;NULL;0;0;NULL;NULL
25;2015;4;PV;7;467;NULL;NULL;2;472;NULL;NULL
37;2015;4;HSH;0;0;NULL;NULL;0;0;NULL;NULL
15;2015;4;PV;8;133;NULL;NULL;0;133;NULL;NULL
37;2015;3;PV;1;110;NULL;NULL;0;110;NULL;NULL
37;2015;3;PV;0;0;NULL;NULL;0;0;NULL;NULL
22;2015;3;PV;6;2205;NULL;NULL;0;2205;NULL;NULL
37;2015;3;PV;0;0;NULL;NULL;0;0;NULL;NULL
24;2015;3;HSH;0;0;NULL;NULL;0;0;NULL;NULL
29;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
29;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
37;2015;2;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
19;2015;3;TRANS;1;0;NULL;NULL;0;0;NULL;NULL
19;2015;4;TRANS;1;0;NULL;NULL;0;0;NULL;NULL
18;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
18;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
30;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
30;2015;4;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
16;2015;3;PV;124;7253;NULL;NULL;52;7716;NULL;NULL
16;2015;3;PV;124;7253;NULL;NULL;52;7716;NULL;NULL
37;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
23;2015;4;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
20;2015;3;TRANS;1;0;NULL;NULL;0;0;NULL;NULL
20;2015;4;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
33;2015;2;TRANS;2;0;NULL;NULL;0;0;NULL;NULL
33;2015;3;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
33;2015;4;TRANS;0;0;NULL;NULL;0;0;NULL;NULL
26;2016;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
20;2016;1;PV;55;98;NULL;NULL;5;0;NULL;NULL
16;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
16;2016;1;PV;450;550;NULL;NULL;15;10;NULL;NULL
15;2016;1;PV;3;705;NULL;NULL;0;705;NULL;NULL
28;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
28;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
28;2016;1;PV;0;193;NULL;NULL;0;43;NULL;NULL
27;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
37;2016;1;PV;11;1323;NULL;NULL;5;1210;NULL;NULL
13;2016;1;HSH;1;31;NULL;NULL;11;22;NULL;NULL
10;2015;4;MTS;0;76;NULL;NULL;1;75;NULL;NULL
10;2015;4;MTS;0;76;NULL;NULL;1;75;NULL;NULL
45;2016;4;MTS;0;0;NULL;NULL;0;0;NULL;NULL
23;2016;1;PV;11;1373;NULL;NULL;8;1376;NULL;NULL
20;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
3;2016;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
20;2016;1;PV;17;1068;NULL;NULL;8;1118;NULL;NULL
21;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
21;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
